origin,destination,selling_price_40ft_ksh,selling_price_40ft_USD,origin_lat_long,dest_lat_long,geometry,Dist_m,Dist_km,Time_s,Time_m,Time_h
Banana Hill,Mombasa,75000,743.68,"-1.1759669,36.7550147","-4.0434771,39.6682065",POINT (39.6682065 -4.0434771),501265,501.265,31009,516.8166667,8.613611111
"ICD, Nairobi",Nairobi,20000,198.31,"-1.3355024,36.8781657","-1.3355024,36.8781657",POINT (-1.3355024 36.8781657),0,0,0,,0
"ICD, Nairobi",Nairobi,20000,198.31,"-1.3355024,36.8781657","-1.2920659,36.8219462",POINT (36.8219462 -1.2920659),25000,25,1238,20.63333333,0.343888889
"ICD, Nairobi",Limuru Uplands,35000,347.05,"-1.3355024,36.8781657","-1.069374,36.6997658",POINT (36.6997658 -1.069374),67487,67.487,4614,76.9,1.281666667
"ICD, Nairobi",Nakuru,80000,793.26,"-1.3355024,36.8781657","-0.3030988,36.080026",POINT (36.080026 -0.3030988),174954,174.954,11104,185.0666667,3.084444444
"ICD, Nairobi",Rumuruti,90000,892.41,"-1.3355024,36.8781657","0.2671366,36.539177",POINT (36.539177 0.2671366),244320,244.32,14957,249.2833333,4.154722222
"ICD, Nairobi",Ngong,30000,297.47,"-1.3355024,36.8781657","-1.3562118,36.6687545",POINT (36.6687545 -1.3562118),33964,33.964,2761,46.01666667,0.766944444
"ICD, Nairobi",Ruiru,30000,297.47,"-1.3355024,36.8781657","-1.14825,36.9604534",POINT (36.9604534 -1.14825),32423,32.423,2571,42.85,0.714166667
"ICD, Nairobi",Industrial Area,20000,198.31,"-1.3355024,36.8781657","-1.2984086,36.8147091",POINT (36.8147091 -1.2984086),12680,12.68,1211,20.18333333,0.336388889
"ICD, Nairobi",Nyeri,75000,743.68,"-1.3355024,36.8781657","-0.437099,36.9580104",POINT (36.9580104 -0.437099),158631,158.631,9636,160.6,2.676666667
"ICD, Nairobi",Naivasha,55000,545.36,"-1.3355024,36.8781657","-0.7171778,36.4310251",POINT (36.4310251 -0.7171778),106522,106.522,6536,108.9333333,1.815555556
"ICD, Nairobi",CBD,30000,297.47,"-1.3355024,36.8781657","-1.2920659,36.8219462",POINT (36.8219462 -1.2920659),13284,13.284,1238,20.63333333,0.343888889
"ICD, Nairobi",Kajido,35000,347.05,"-1.3355024,36.8781657","-1.8420731,36.7918599",POINT (36.7918599 -1.8420731),67973,67.973,4638,77.3,1.288333333
"ICD, Nairobi",Nyahururu,75000,743.68,"-1.3355024,36.8781657","0.0351644,36.3642919",POINT (36.3642919 0.0351644),200957,200.957,12215,203.5833333,3.393055556
"ICD, Nairobi",Thika,35000,347.05,"-1.3355024,36.8781657","-1.0387569,37.0833753",POINT (37.0833753 -1.0387569),51723,51.723,3919,65.31666667,1.088611111
Kikuyu,Mombasa,75000,743.68,"-1.2471951,36.6790986","-4.0434771,39.6682065",POINT (39.6682065 -4.0434771),506911,506.911,29902,498.3666667,8.306111111
Mombasa,Nyeri,150000,1487.36,"-4.0434771,39.6682065","-0.437099,36.9580104",POINT (36.9580104 -0.437099),626004,626.004,36935,615.5833333,10.25972222
Mombasa,Eldoret,160000,1586.51,"-4.0434771,39.6682065","0.5142775,35.2697802",POINT (35.2697802 0.5142774999999999),797499,797.499,47760,796,13.26666667
Mombasa,Nanyuki,170000,1685.67,"-4.0434771,39.6682065","0.0074415,37.0722303",POINT (37.0722303 0.007441499999999999),669529,669.529,39273,654.55,10.90916667
Mombasa,Kakuma,300000,2974.71,"-4.0434771,39.6682065","3.7167637,34.8568982",POINT (34.8568982 3.7167637),1237373,1237.373,81131,1352.183333,22.53638889
Mombasa,Muranga,125000,1239.46,"-4.0434771,39.6682065","-0.7957043,37.1322022",POINT (37.1322022 -0.7957042999999999),548059,548.059,32698,544.9666667,9.082777778
Mombasa,Matuu,145000,1437.78,"-4.0434771,39.6682065","-1.1407002,37.5481236",POINT (37.5481236 -1.1407002),516469,516.469,30960,516,8.6
Mombasa,Busia,180000,1784.83,"-4.0434771,39.6682065","0.4607691,34.1114621",POINT (34.1114621 0.4607691),937632,937.632,56911,948.5166667,15.80861111
Mombasa,Lokichar,290000,2875.56,"-4.0434771,39.6682065","2.383763,35.6478189",POINT (35.6478189 2.383763),1029852,1029.852,62501,1041.683333,17.36138889
Mombasa,Garissa,240000,2379.77,"-4.0434771,39.6682065","-0.4532293,39.6460988",POINT (39.6460988 -0.4532293),462408,462.408,28352,472.5333333,7.875555556
Mombasa,Kampala,235000,2535,"-4.0434771,39.6682065","0.3475964,32.5825197",POINT (32.5825197 0.3475964),1135134,1135.134,71428,1190.466667,19.84111111
Mombasa,Narok,145000,1437.78,"-4.0434771,39.6682065","-1.0875428,35.8770642",POINT (35.87706420000001 -1.0875428),626398,626.398,37239,620.65,10.34416667
Mombasa,Moshi,181530,1800,"-4.0434771,39.6682065","-3.527647,37.4254444",POINT (37.4254444 -3.527647),306095,306.095,19754,329.2333333,5.487222222
Mombasa,Kisii,165000,1636.09,"-4.0434771,39.6682065","-0.677334,34.779603",POINT (34.779603 -0.677334),790115,790.115,47445,790.75,13.17916667
Mombasa,Kisumu,167000,1655.92,"-4.0434771,39.6682065","-0.0917016,34.7679568",POINT (34.7679568 -0.09170159999999999),827423,827.423,49442,824.0333333,13.73388889
Mombasa,Karen,110000,1090.73,"-4.0434771,39.6682065","-1.316866,36.6903289",POINT (36.6903289 -1.316866),498096,498.096,29472,491.2,8.186666667
Mombasa,Nakuru,155000,1536.94,"-4.0434771,39.6682065","-0.3030988,36.080026",POINT (36.080026 -0.3030988),644358,644.358,38474,641.2333333,10.68722222
Mombasa,Kajiado,110000,1090.73,"-4.0434771,39.6682065","-2.0980751,36.7819505",POINT (36.7819505 -2.0980751),537918,537.918,31266,521.1,8.685
Mombasa,Thika,110000,1090.73,"-4.0434771,39.6682065","-1.0387569,37.0833753",POINT (37.0833753 -1.0387569),519096,519.096,31217,520.2833333,8.671388889
Mombasa,Beni,756375,7500,"-4.0434771,39.6682065","9.30769,2.315834",POINT (2.315834 9.307689999999999),1625000,1625,104400,1740,29
Mombasa,Isiolo,190000,1883.99,"-4.0434771,39.6682065","0.35462,37.58218",POINT (3.3086778 6.535498),748624,748.624,43895,731.5833333,12.19305556
Mombasa,Bujumbura,695865,6900,"-4.0434771,39.6682065","-3.361378,29.3598782",POINT (29.3598782 -3.361378),1550955,1550.955,92385,1539.75,25.6625
Mombasa,Dadaab,255000,2528.51,"-4.0434771,39.6682065","0.0925798,40.3190719",POINT (40.3190719 0.09257979999999999),569621,569.621,37255,620.9166667,10.34861111
Mombasa,Nairobi,95000,941.99,"-4.0434771,39.6682065","-1.2920659,36.8219462",POINT (36.8219462 -1.2920659),482688,482.688,28608,476.8,7.946666667
Mombasa,Bomet,155000,1536.94,"-4.0434771,39.6682065","-0.7855612,35.3391395",POINT (35.3391395 -0.7855612),707749,707.749,41910,698.5,11.64166667
Mombasa,Bungoma,175000,1735.25,"-4.0434771,39.6682065","0.5695252,34.5583766",POINT (34.5583766 0.5695252),891962,891.962,54545,909.0833333,15.15138889
Mombasa,Kitengela,100000,991.57,"-4.0434771,39.6682065","-1.4752891,36.9620104",POINT (36.9620104 -1.4752891),462460,462.46,27346,455.7666667,7.596111111
Mombasa,Machakos,90000,892.41,"-4.0434771,39.6682065","-1.5176837,37.2634146",POINT (37.2634146 -1.5176837),438996,438.996,25634,427.2333333,7.120555556
Mombasa,Juba,605100,6000,"-4.0434771,39.6682065","4.859363,31.57125",POINT (31.57125 4.859363),1586506,1586.506,97067,1617.783333,26.96305556
Mombasa,Meru,175000,1735.25,"-4.0434771,39.6682065","-3.2392763,36.7626981",POINT (36.7626981 -3.2392763),389519,389.519,25808,430.1333333,7.168888889
Mombasa,Dar Salaam,282380,2800,"-4.0434771,39.6682065","-6.81281,39.273933",,505916,505.916,34770,579.5,9.658333333
Mombasa,Isebania,195000,1933.56,"-4.0434771,39.6682065","-1.2448469,34.4766572",POINT (34.4766572 -1.2448469),877307,877.307,54917,915.2833333,15.25472222
Mombasa,Ngong,115000,1140.31,"-4.0434771,39.6682065","-1.3562118,36.6687545",POINT (36.6687545 -1.3562118),503368,503.368,30131,502.1833333,8.369722222
Mombasa,Goma,756375,7500,"-4.0434771,39.6682065","-1.658501,29.2204548",POINT (29.2204548 -1.658501),1639732,1639.732,103533,1725.55,28.75916667
Mombasa,Bukavu,756375,7500,"-4.0434771,39.6682065","-2.5123017,28.8480284",POINT (28.8480284 -2.5123017),1640680,1640.68,99093,1651.55,27.52583333
Mombasa,Arusha,242040,2400,"-4.0434771,39.6682065","-3.3869254,36.6829927",POINT (36.6829927 -3.3869254),385154,385.154,25379,422.9833333,7.049722222
Nairobi,Eldoret,100000,991.57,"-1.2920659,36.8219462","0.5142775,35.2697802",POINT (35.2697802 0.5142774999999999),312450,312.45,20036,333.9333333,5.565555556
Nairobi,Nyeri,75000,743.68,"-1.2920659,36.8219462","-0.437099,36.9580104",POINT (36.9580104 -0.437099),152209,152.209,9007,150.1166667,2.501944444
Nairobi,Muranga,60000,594.94,"-1.2920659,36.8219462","-0.7957043,37.1322022",POINT (37.1322022 -0.7957042999999999),74264,74.264,4770,79.5,1.325
Nairobi,Nanyuki,80000,793.26,"-1.2920659,36.8219462","0.0074415,37.0722303",POINT (37.0722303 0.007441499999999999),195734,195.734,11345,189.0833333,3.151388889
Nairobi,Kakuma,270000,2677.24,"-1.2920659,36.8219462","3.7167637,34.8568982",POINT (34.8568982 3.7167637),752324,752.324,53407,890.1166667,14.83527778
Nairobi,Busia,150000,1487.36,"-1.2920659,36.8219462","0.4607691,34.1114621",POINT (34.1114621 0.4607691),452584,452.584,29187,486.45,8.1075
Nairobi,Matuu,90000,892.41,"-1.2920659,36.8219462","-1.1407002,37.5481236",POINT (37.5481236 -1.1407002),105893,105.893,7087,118.1166667,1.968611111
Nairobi,Garissa,160000,1586.51,"-1.2920659,36.8219462","-0.4532293,39.6460988",POINT (39.6460988 -0.4532293),367056,367.056,19583,326.3833333,5.439722222
Nairobi,Karen,25000,247.89,"-1.2920659,36.8219462","-1.316866,36.6903289",POINT (36.6903289 -1.316866),20947,20.947,1815,30.25,0.504166667
Nairobi,Narok,100000,991.57,"-1.2920659,36.8219462","-1.0875428,35.8770642",POINT (35.87706420000001 -1.0875428),141350,141.35,9515,158.5833333,2.643055556
Nairobi,Bujumbura,605100,6000,"-1.2920659,36.8219462","-3.361378,29.3598782",POINT (29.3598782 -3.361378),1270157,1270.157,80407,1340.116667,22.33527778
Nairobi,Kisii,115000,1140.31,"-1.2920659,36.8219462","-0.677334,34.779603",POINT (34.779603 -0.677334),305066,305.066,19721,328.6833333,5.478055556
Nairobi,Harare,988330,9800,"-1.2920659,36.8219462","-17.824858,31.053028",,2784709,2784.709,149025,2483.75,41.39583333
Nairobi,Lokichar,250000,2478.93,"-1.2920659,36.8219462","2.383763,35.6478189",POINT (35.6478189 2.383763),544804,544.804,34777,579.6166667,9.660277778
Nairobi,Nakuru,80000,793.26,"-1.2920659,36.8219462","-0.3030988,36.080026",POINT (36.080026 -0.3030988),159309,159.309,10750,179.1666667,2.986111111
Nairobi,Kajiado,35000,347.05,"-1.2920659,36.8219462","-2.0980751,36.7819505",POINT (36.7819505 -2.0980751),105071,105.071,6451,107.5166667,1.791944444
Nairobi,Bungoma,125000,1239.46,"-1.2920659,36.8219462","0.5695252,34.5583766",POINT (34.5583766 0.5695252),406913,406.913,26821,447.0166667,7.450277778
Nairobi,Kampala,242040,2400,"-1.2920659,36.8219462","0.3475964,32.5825197",POINT (32.5825197 0.3475964),650085,650.085,43704,728.4,12.14
Nairobi,Isiolo,95000,941.99,"-1.2920659,36.8219462","0.35462,37.58218",POINT (3.3086778 6.535498),274829,274.829,15967,266.1166667,4.435277778
Nairobi,Beni,705950,7000,"-1.2920659,36.8219462","9.30769,2.315834",POINT (2.315834 9.307689999999999),1155000,1155,76920.00012,1282.000002,21.3666667
Nairobi,Dadaab,175000,1735.25,"-1.2920659,36.8219462","0.0925798,40.3190719",POINT (40.3190719 0.09257979999999999),474268,474.268,28486,474.7666667,7.912777778
Nairobi,Moshi,201700,2000,"-1.2920659,36.8219462","-3.527647,37.4254444",POINT (37.4254444 -3.527647),320446,320.446,20882,348.0333333,5.800555556
Nairobi,Kitengela,25000,247.89,"-1.2920659,36.8219462","-1.4752891,36.9620104",POINT (36.9620104 -1.4752891),29613,29.613,2531,42.18333333,0.703055556
Nairobi,Lubumbashi,1159775,11500,"-1.2920659,36.8219462","-11.66089,27.47938",,2190602,2190.602,122017,2033.616667,33.89361111
Nairobi,Juba,554675,5500,"-1.2920659,36.8219462","4.859363,31.57125",POINT (31.57125 4.859363),1101457,1101.457,69343,1155.716667,19.26194444
Nairobi,Kisumu,115000,1140.31,"-1.2920659,36.8219462","-0.0917016,34.7679568",POINT (34.7679568 -0.09170159999999999),342374,342.374,21718,361.9666667,6.032777778
Nairobi,Mombasa,60000,594.94,"-1.2920659,36.8219462","-4.0434771,39.6682065",POINT (39.6682065 -4.0434771),481267,481.267,28728,478.8,7.98
Nairobi,Thika,25000,247.89,"-1.2920659,36.8219462","-1.0387569,37.0833753",POINT (37.0833753 -1.0387569),45301,45.301,3290,54.83333333,0.913888889
Nairobi,Machakos,30000,297.47,"-1.2920659,36.8219462","-1.5176837,37.2634146",POINT (37.2634146 -1.5176837),61607,61.607,4740,79,1.316666667
Nairobi,Meru,100000,991.57,"-1.2920659,36.8219462","-3.2392763,36.7626981",POINT (36.7626981 -3.2392763),317945,317.945,19783,329.7166667,5.495277778
Nairobi,Bomet,110000,1090.73,"-1.2920659,36.8219462","-0.7855612,35.3391395",POINT (35.3391395 -0.7855612),222700,222.7,14186,236.4333333,3.940555556
Nairobi,Isebania,140000,1388.2,"-1.2920659,36.8219462","-1.2448469,34.4766572",POINT (34.4766572 -1.2448469),392258,392.258,27193,453.2166667,7.553611111
Nairobi,Ngong,30000,297.47,"-1.2920659,36.8219462","-1.3562118,36.6687545",POINT (36.6687545 -1.3562118),26218,26.218,2473,41.21666667,0.686944444
Nairobi,Goma,675695,6700,"-1.2920659,36.8219462","-1.658501,29.2204548",POINT (29.2204548 -1.658501),1225417,1225.417,79668,1327.8,22.13
Nairobi,Bukavu,705950,7000,"-1.2920659,36.8219462","-2.5123017,28.8480284",POINT (28.8480284 -2.5123017),1407055,1407.055,90326,1505.433333,25.09055556
Nairobi,Arusha,181530,1800,"-1.2920659,36.8219462","-3.3869254,36.6829927",POINT (36.6829927 -3.3869254),271591,271.591,14911,248.5166667,4.141944444
Nairobi,Dar Salaam,292465,2900,"-1.2920659,36.8219462","-6.81281,39.273933",,823285,823.285,50067,834.45,13.9075
Nairobi,Bunia,705950,7000,"-1.2920659,36.8219462","1.574278,30.2397336",POINT (30.23973359999999 1.574278),1142366,1142.366,73144,1219.066667,20.31777778
Nakuru,Mombasa,120000,1189.89,"-0.3030988,36.080026","-4.0434771,39.6682065",POINT (39.6682065 -4.0434771),643209,643.209,38788,646.4666667,10.77444444
Thika ,Mombasa,57000,565.2,"-1.0387569,37.0833753","-4.0434771,39.6682065",POINT (39.6682065 -4.0434771),526585,526.585,31828,530.4666667,8.841111111
